TIMESTAMP,RG_in_Avg,NET_Wm2_Avg,Temp_2m_Avg,UR_2m,WS_10m_Avg,WS_2m_Avg,G_solo_Avg,Tsolo_1cm_Avg,UV_in_Avg,Tsolo_5cm_Avg,Tsolo_10cm_Avg,Pressao_kPa_Avg,Temp_2m_Max,UR_2m_Max,WS_10m_Max,Temp_2m_Min,UR_2m_Min,RG_Total_Tot,Ppt_mm_Tot
2023-03-03,42.437,-9.555,24.578,76.819,1.151,0.398,-8.217,25.707,0.455,26.921,27.567,113.613,27.64,87.7,4.15,22.2,61.2,1.088,0.0
2023-03-04,273.986,171.904,26.255,72.406,1.474,0.947,7.126,28.558,3.519,28.006,27.795,117.593,32.55,93.5,6.6,20.58,47.8,23.673,0.0
2023-03-05,280.069,174.87,27.288,70.941,1.695,1.095,7.215,30.06,3.549,29.137,28.847,117.35,32.65,90.7,8.5,22.39,47.05,24.199,0.0
2023-03-06,282.682,175.165,27.542,70.096,1.427,0.964,7.454,31.326,3.563,30.093,29.72,116.914,33.82,92.0,7.2,22.01,44.17,24.42,0.0
2023-03-07,220.031,130.001,25.939,74.152,1.777,1.068,-1.082,29.818,2.928,29.134,29.176,117.178,31.51,89.6,9.4,21.58,55.54,19.01,0.0
2023-03-08,222.052,136.899,24.251,78.527,1.415,0.792,-7.353,28.594,2.855,28.0,28.328,117.41,32.41,93.7,10.6,20.26,47.09,19.187,29.46
2023-03-09,189.511,111.482,23.77,78.341,1.161,0.638,-2.731,26.95,2.654,27.095,27.414,117.587,30.65,92.9,8.35,19.93,51.5,16.271,0.508
2023-03-10,178.983,97.847,24.011,78.414,1.294,0.585,-7.287,25.677,2.41,25.948,26.464,117.52,30.78,93.2,5.3,19.08,52.79,15.463,30.732
2023-03-11,134.639,72.205,22.08,87.246,1.219,0.662,-8.822,25.148,1.902,25.526,25.99,117.503,30.81,95.4,6.4,19.78,54.12,11.632,13.208
2023-03-12,165.377,90.744,22.577,86.53,0.769,0.364,-1.22,25.178,2.331,25.393,25.712,117.46,28.74,95.7,6.25,19.35,61.61,14.29,7.112
2023-03-13,159.211,93.811,22.622,86.457,1.62,0.785,-1.464,25.385,2.309,25.619,25.944,117.474,28.55,94.5,8.6,20.53,60.25,13.756,20.574
2023-03-14,236.508,145.525,23.681,82.115,2.249,1.274,7.201,26.948,3.196,26.722,26.669,117.489,29.42,93.9,6.95,20.58,59.15,20.434,0.254
2023-03-15,257.198,160.028,24.504,77.388,1.846,1.084,8.922,27.665,3.384,27.303,27.228,117.486,30.65,93.7,7.9,20.39,50.59,22.223,0.0
